Column1,Column2,Column3,Column4,Column5,Column6,Column7
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.048692,6.265817,6.890723,9.372421,42.674809,80.498627
0.0019510,1.051087,6.280183,6.866780,9.364729,42.839615,80.498718
0.0039260,1.048692,6.284971,6.845232,9.351888,42.948826,80.527061
0.0059103,1.012778,6.308914,6.804529,9.334331,43.199146,80.880043
0.0078986,0.974470,6.301731,6.766221,9.297481,43.302090,81.209679
0.0098898,0.976864,6.316097,6.735095,9.284872,43.499222,81.208145
0.0118826,0.962498,6.325674,6.727912,9.284684,43.562355,81.348381
0.0138765,0.933767,6.352011,6.706364,9.284142,43.751476,81.637222
0.0158715,0.933767,6.380743,6.684815,9.288301,43.970062,81.674347
0.0178670,0.919402,6.404685,6.653690,9.280995,44.199593,81.830917
0.0198633,0.907430,6.438205,6.629747,9.285874,44.441933,81.977318
0.0218601,0.907430,6.445388,6.629747,9.290855,44.473244,81.986137
0.0238571,0.890670,6.474119,6.612987,9.297263,44.660583,82.166763
0.0258546,0.897853,6.493273,6.612987,9.311301,44.747925,82.127388
0.0278523,0.900247,6.493273,6.596227,9.299637,44.822056,82.106659
0.0298510,0.924190,6.505245,6.598621,9.312043,44.877941,81.914185
0.0318492,0.914613,6.514822,6.605804,9.322879,44.882259,82.008499
0.0338475,0.905036,6.538764,6.596227,9.331921,45.021156,82.119713
0.0358459,0.926584,6.541159,6.608199,9.344175,44.992466,81.937439
0.0378445,0.936161,6.550736,6.608199,9.351836,45.039394,81.866966
0.0398432,0.938556,6.545948,6.656084,9.382631,44.813488,81.840561
0.0418420,0.928979,6.543553,6.670450,9.390207,44.735592,81.919800
0.0438411,0.926584,6.538764,6.670450,9.386634,44.713573,81.934525
0.0458401,0.921796,6.550736,6.677632,9.399608,44.731220,81.990135
0.0478393,0.933767,6.553130,6.715941,9.429703,44.584881,81.890411
0.0498386,0.933767,6.543553,6.730307,9.433293,44.482616,81.878700
0.0518380,0.940950,6.541159,6.773404,9.463147,44.293949,81.814117
0.0538375,0.964893,6.519610,6.802135,9.471292,44.095215,81.581421
0.0558370,0.962498,6.514822,6.826077,9.484968,43.972492,81.595924
0.0578365,0.964893,6.531582,6.871569,9.529483,43.855850,81.596626
0.0598362,1.010384,6.531582,6.912271,9.563573,43.716278,81.206497
0.0618375,0.976864,6.533976,6.936214,9.579048,43.605751,81.496956
0.0638389,0.988836,6.529187,6.967340,9.599578,43.464855,81.388084
0.0658469,1.010384,6.543553,7.017620,9.648106,43.334702,81.222336
0.0678482,1.012778,6.548342,7.046351,9.672516,43.239872,81.208191
0.0698495,1.039115,6.543553,7.087053,9.701761,43.072395,80.976784
0.0718509,1.072635,6.536370,7.130150,9.732098,42.891598,80.680679
0.0738523,1.082212,6.536370,7.161276,9.755982,42.773888,80.598953
0.0758536,1.127703,6.529187,7.206767,9.789764,42.595245,80.200706
0.0778550,1.134886,6.517216,7.242682,9.809103,42.407822,80.121758
0.0798563,1.197137,6.519610,7.288173,9.851696,42.286587,79.595200
0.0818577,1.216292,6.514822,7.321692,9.875700,42.150497,79.424850
0.0838590,1.228263,6.502851,7.360001,9.897742,41.960667,79.303940
0.0858604,1.259389,6.502851,7.439012,9.960523,41.681789,79.039375
0.0878617,1.259389,6.517216,7.462955,9.987785,41.650887,79.062958
0.0898626,1.254600,6.505245,7.496474,10.004467,41.469124,79.083969
0.0918640,1.266571,6.533976,7.515629,10.039010,41.527081,79.029617
0.0938654,1.242629,6.553130,7.549149,10.073593,41.461590,79.262848
0.0958668,1.245023,6.555524,7.551543,10.077241,41.464500,79.246475
0.0978682,1.225869,6.572284,7.541965,10.078637,41.555626,79.434547
0.0998695,1.192349,6.581861,7.518023,10.062965,41.660370,79.731842
0.1018709,1.192349,6.581861,7.518023,10.062965,41.660370,79.731842
0.1038722,1.168406,6.596227,7.482109,10.042775,41.838837,79.955246
0.1058736,1.156435,6.589044,7.462955,10.022402,41.872898,80.045479
0.1078750,1.122915,6.601016,7.439012,10.008658,41.990337,80.345695
0.1098763,1.125309,6.598621,7.391126,9.971804,42.166046,80.322052
0.1118777,1.118126,6.591439,7.364789,9.946728,42.232510,80.372383
0.1138790,1.106155,6.624959,7.355212,9.960562,42.401859,80.520889
0.1158803,1.072635,6.632141,7.283384,9.908760,42.688984,80.812943
0.1178818,1.051087,6.627353,7.235498,9.868081,42.842773,80.988052
0.1198830,1.031932,6.620170,7.230710,9.857722,42.818779,81.140198
0.1218844,1.012778,6.653690,7.197190,9.853774,43.080116,81.345268
0.1238858,0.988836,6.636930,7.173247,9.822531,43.089703,81.525841
0.1258805,0.979258,6.636930,7.144516,9.800607,43.198456,81.606743
0.1278818,0.972076,6.627353,7.087053,9.751567,43.384506,81.655571
0.1298832,0.984047,6.639324,7.089447,9.762646,43.432819,81.569290
0.1318845,0.952921,6.615381,7.070293,9.729356,43.389801,81.803139
0.1338858,0.948133,6.610593,7.029591,9.696084,43.531754,81.837944
0.1358871,0.938556,6.608199,7.008042,9.677904,43.603634,81.916405
0.1378885,0.931373,6.610593,6.972128,9.652873,43.756516,81.980331
0.1398898,0.917007,6.612987,6.938608,9.628956,43.896107,82.105278
0.1418911,0.924190,6.624959,6.917060,9.622366,44.040195,82.058418
0.1438925,0.924190,6.620170,6.878752,9.591558,44.178902,82.052750
0.1459002,0.914613,6.610593,6.838049,9.554861,44.302540,82.122810
0.1479017,0.902642,6.620170,6.818895,9.546660,44.416580,82.235756
0.1499029,0.883487,6.605804,6.804529,9.524642,44.404877,82.382233
0.1519042,0.871516,6.586650,6.775798,9.489728,44.437553,82.462662
0.1539056,0.859545,6.603410,6.778192,9.501985,44.492279,82.583694
0.1559069,0.866727,6.608199,6.775798,9.504259,44.526821,82.527771
0.1579082,0.854756,6.596227,6.773404,9.493146,44.479221,82.616608
0.1599096,0.845179,6.603410,6.775798,9.498989,44.494492,82.706291
0.1619113,0.852362,6.598621,6.785375,9.503138,44.437534,82.639702
0.1639181,0.861939,6.586650,6.806923,9.511105,44.300907,82.544556
0.1659195,0.866727,6.593833,6.818895,9.525082,44.283951,82.511681
0.1679208,0.854756,6.584256,6.826077,9.522519,44.206192,82.603333
0.1699220,0.917007,6.569890,6.845232,9.532132,44.100372,82.054146
0.1719234,0.938556,6.596227,6.857203,9.560980,44.175625,81.901924
0.1739247,1.005595,6.548342,6.905088,9.569339,43.814529,81.269577
0.1759261,1.034327,6.524399,6.936214,9.578553,43.602642,80.991745
0.1779274,1.098972,6.526793,7.015225,9.644696,43.333958,80.442268
